# Example data set collected in the Marsdiep at the NIOZ jetty
#
# This row is empty
# This row is empty
# Location: South of Texel island, the Netherlands
# Latitude: 53.001788
# Longitude:  4.789151
# Date, Time: 4/9/2023, 14:40:00 UTC
# Secchi Depth, [m]: n. a.
# Air Temperature, [degC]: n. a.
# Sea Temperature, [degC]: n. a.
# Wind Speed, [m/s]: 5.4
# Wind Direction, [deg]: n. a.
# Depth, [m]: n. a.
# 
"Wavelength, [nm]","Sky Radiance, [mW/(m^2 nm sr)]","Upwelling Radiance, [mW/(m^2 nm sr)]","Downwelling Irradiance, [mW/(m^2 nm)]"
824,11.397,0.71503,375.67
825,11.441,0.71188,378.05
826,11.484,0.70569,380.33
827,11.528,0.6995,382.61
828,11.573,0.69331,384.94
829,11.617,0.6876,387.45
830,11.662,0.68206,389.96
831,11.734,0.67653,392.47
832,11.809,0.67331,396.34
833,11.884,0.67323,400.35
834,11.979,0.67316,404.36
835,12.087,0.6734,408.77
836,12.196,0.67585,413.42
837,12.292,0.6783,418.07
838,12.36,0.68075,422.14
839,12.428,0.68231,425.02
840,12.495,0.68367,427.9
841,12.505,0.68504,430.7
842,12.513,0.68473,431.6
843,12.522,0.68293,432.5
844,12.528,0.68114,433.4
845,12.534,0.67933,432.59
846,12.539,0.67753,431.23
847,12.496,0.67572,429.87
848,12.374,0.67391,427.78
849,12.252,0.66752,424.85
850,12.136,0.66082,421.93
851,12.084,0.65412,419.31
852,12.033,0.64971,418.03
853,11.981,0.6466,416.75
854,11.971,0.64349,415.47
855,11.973,0.6416,416.15
856,11.975,0.64202,417.03
857,11.985,0.64245,417.91
858,12.005,0.64286,418.83
859,12.025,0.6432,419.77
860,12.04,0.64354,420.71
861,12.035,0.64387,420.9
862,12.029,0.64053,419.64
863,12.023,0.63604,418.39
864,11.966,0.63155,417.13
865,11.904,0.62725,415.77
866,11.842,0.62315,414.42
867,11.794,0.61906,413.06
868,11.755,0.61516,413.12
869,11.717,0.61215,413.56
870,11.691,0.60915,414.01
871,11.695,0.60615,414.36
872,11.699,0.60773,414.62
873,11.703,0.60986,414.88
874,11.71,0.61199,414.97
875,11.716,0.6106,414.47
876,11.723,0.60692,413.97
877,11.705,0.60324,413.48
878,11.677,0.59877,412.72
879,11.65,0.59263,411.96
880,11.611,0.58649,411.19
881,11.557,0.58042,410.57
882,11.503,0.57656,410.01
883,11.448,0.57269,409.45
884,11.381,0.56882,408.36
885,11.314,0.56488,406.53
886,11.248,0.56091,404.69
887,11.185,0.55694,402.48
888,11.122,0.55194,398.11
889,11.059,0.54576,393.74
890,10.889,0.53958,389.37
891,10.64,0.53132,380.32
892,10.392,0.51393,370.61
893,10.134,0.49653,360.91
894,9.8545,0.47914,350.15
895,9.5747,0.46712,338.72
896,9.2963,0.45567,327.29
897,9.1263,0.44423,317.56
898,8.9564,0.43682,311.1
899,8.7864,0.43183,304.63
900,8.6858,0.42684,298.58
901,8.6107,0.42047,297.51
902,8.5357,0.41147,296.44
903,8.4701,0.40248,295.38
904,8.4162,0.3942,293.71
905,8.3622,0.39564,291.91
906,8.3036,0.39709,290.12
907,8.2221,0.39853,287.03
908,8.1407,0.39334,282.9
909,8.0592,0.38642,278.76
910,8.0033,0.3795,275.15
911,7.9506,0.37353,272.79
912,7.8979,0.36845,270.44
913,7.8589,0.36337,268.17
914,7.8285,0.36115,268.69
915,7.7981,0.36776,269.21
916,7.7925,0.37438,269.73
917,7.8353,0.38099,272.27
918,7.878,0.37807,275.4
919,7.9201,0.37488,278.53
920,7.953,0.37169,279.74
